hour,attacks,messages,trades,total
0,24273,15586,11339,51198
1,22814,13453,10685,46952
2,22186,15125,9941,47252
3,22250,14110,9710,46070
4,23880,14311,9850,48041
5,23300,13363,10123,46786
6,23663,12197,10642,46502
7,25248,11594,10829,47671
8,26142,11689,10945,48776
9,26769,11265,10314,48348
10,26384,12872,10304,49560
11,27508,13670,10200,51378
12,27673,13752,10472,51897
13,27794,16658,10820,55272
14,28178,15850,10850,54878
15,28903,19463,11911,60277
16,28538,21086,12331,61955
17,29093,21794,12590,63477
18,29977,21527,13547,65051
19,29116,21001,13076,63193
20,28585,20531,12380,61496
21,28001,17688,12554,58243
22,26968,16824,12091,55883
23,25148,15385,11979,52512
