hour,attacks,messages,trades,total
0,1106,725,346,2177
1,1074,655,325,2054
2,1063,591,322,1976
3,922,388,337,1647
4,1006,550,308,1864
5,1357,627,307,2291
6,1151,543,395,2089
7,1290,344,354,1988
8,1382,668,328,2378
9,1403,393,381,2177
10,1330,559,385,2274
11,1442,391,346,2179
12,1404,459,324,2187
13,1275,786,310,2371
14,1340,667,321,2328
15,1278,770,370,2418
16,1294,1144,363,2801
17,1316,920,453,2689
18,1526,965,403,2894
19,1302,677,507,2486
20,1324,920,426,2670
21,1256,486,358,2100
22,1259,470,338,2067
23,1164,618,360,2142
