hour,attacks,messages,trades,total
0,790,507,331,1628
1,700,796,356,1852
2,761,419,359,1539
3,657,485,385,1527
4,698,383,334,1415
5,699,288,359,1346
6,621,230,320,1171
7,681,558,345,1584
8,831,631,429,1891
9,818,790,417,2025
10,822,724,392,1938
11,757,435,361,1553
12,671,799,383,1853
13,683,844,373,1900
14,796,507,319,1622
15,717,516,394,1627
16,912,696,489,2097
17,928,1335,462,2725
18,889,762,527,2178
19,1015,1029,483,2527
20,823,884,498,2205
21,867,778,448,2093
22,826,461,363,1650
23,786,480,372,1638
